0,930,16,,47.71342282
1,723,15,,
2,725,15,,
3,727,15,,
4,716,15,,
5,724,15,,
6,725,15,,
7,725,15,,
8,726,15,,
9,721,15,,
10,725,15,,
11,714,15,,
12,724,15,,
13,726,15,,
14,727,15,,
15,727,15,,
16,720,15,,
17,725,15,,
18,725,15,,
19,724,16,,
20,728,15,,
21,725,15,,
22,724,15,,
23,726,15,,
24,725,15,,
25,723,15,,
26,724,15,,
27,724,15,,
28,724,15,,
29,731,15,,
30,725,15,,
31,722,15,,
32,714,15,,
33,749,15,,
34,688,15,,
35,698,15,,
36,696,14,,
37,693,15,,
38,693,15,,
39,695,14,,
40,697,15,,
41,677,15,,
42,692,19,,
43,695,14,,
44,740,15,,
45,698,15,,
46,691,15,,
47,694,15,,
48,738,15,,
49,686,15,,
50,695,14,,
51,698,15,,
52,738,15,,
53,693,15,,
54,696,15,,
55,697,15,,
56,691,14,,
57,692,14,,
58,697,14,,
59,692,15,,
60,694,15,,
61,738,15,,
62,693,15,,
63,746,15,,
64,696,14,,
65,699,15,,
66,736,15,,
67,692,15,,
68,690,15,,
69,697,15,,
70,699,15,,
71,696,14,,
72,693,15,,
73,697,15,,
74,696,15,,
75,696,14,,
76,693,15,,
77,686,15,,
78,693,14,,
79,740,15,,
80,735,15,,
81,697,15,,
82,685,14,,
83,739,15,,
84,697,15,,
85,698,15,,
86,691,14,,
87,698,15,,
88,691,14,,
89,687,15,,
90,697,15,,
91,697,14,,
92,697,15,,
93,695,15,,
94,741,15,,
95,691,14,,
96,695,15,,
97,696,15,,
98,698,15,,
99,695,15,,
